"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0090","1.0497e-005",
"380.2","0.0083","9.6494e-006",
"380.4","0.0075","8.7092e-006",
"380.6","0.0068","7.8880e-006",
"380.8","0.0065","7.5393e-006",
"381.0","0.0067","7.7267e-006",
"381.2","0.0067","7.7378e-006",
"381.4","0.0065","7.5121e-006",
"381.6","0.0068","7.8544e-006",
"381.8","0.0074","8.5516e-006",
"382.0","0.0072","8.3039e-006",
"382.2","0.0064","7.4480e-006",
"382.4","0.0065","7.5045e-006",
"382.6","0.0069","8.0387e-006",
"382.8","0.0067","7.7766e-006",
"383.0","0.0062","7.1861e-006",
"383.2","0.0061","7.1090e-006",
"383.4","0.0063","7.2896e-006",
"383.6","0.0065","7.5183e-006",
"383.8","0.0065","7.5774e-006",
"384.0","0.0060","6.9811e-006",
"384.2","0.0056","6.4999e-006",
"384.4","0.0060","6.9163e-006",
"384.6","0.0062","7.1642e-006",
"384.8","0.0056","6.4877e-006",
"385.0","0.0052","6.0549e-006",
"385.2","0.0056","6.4917e-006",
"385.4","0.0057","6.6185e-006",
"385.6","0.0052","5.9947e-006",
"385.8","0.0050","5.8438e-006",
"386.0","0.0056","6.4756e-006",
"386.2","0.0059","6.8422e-006",
"386.4","0.0058","6.7219e-006",
"386.6","0.0057","6.6033e-006",
"386.8","0.0057","6.5688e-006",
"387.0","0.0057","6.5676e-006",
"387.2","0.0056","6.5121e-006",
"387.4","0.0052","6.0789e-006",
"387.6","0.0048","5.5686e-006",
"387.8","0.0049","5.7354e-006",
"388.0","0.0054","6.2290e-006",
"388.2","0.0055","6.4254e-006",
"388.4","0.0055","6.3950e-006",
"388.6","0.0053","6.1792e-006",
"388.8","0.0051","5.8743e-006",
"389.0","0.0048","5.5352e-006",
"389.2","0.0046","5.3450e-006",
"389.4","0.0048","5.5760e-006",
"389.6","0.0051","5.8579e-006",
"389.8","0.0051","5.9699e-006",
"390.0","0.0050","5.8227e-006",
"390.2","0.0046","5.2825e-006",
"390.4","0.0044","5.1084e-006",
"390.6","0.0049","5.6946e-006",
"390.8","0.0056","6.4745e-006",
"391.0","0.0062","7.1348e-006",
"391.2","0.0060","7.0002e-006",
"391.4","0.0052","6.0700e-006",
"391.6","0.0050","5.7469e-006",
"391.8","0.0053","6.2037e-006",
"392.0","0.0057","6.6114e-006",
"392.2","0.0058","6.7573e-006",
"392.4","0.0056","6.4424e-006",
"392.6","0.0051","5.9324e-006",
"392.8","0.0051","5.8761e-006",
"393.0","0.0053","6.1174e-006",
"393.2","0.0055","6.3386e-006",
"393.4","0.0055","6.4037e-006",
"393.6","0.0051","5.9189e-006",
"393.8","0.0047","5.5009e-006",
"394.0","0.0053","6.1071e-006",
"394.2","0.0059","6.8520e-006",
"394.4","0.0059","6.8018e-006",
"394.6","0.0057","6.6268e-006",
"394.8","0.0058","6.7198e-006",
"395.0","0.0058","6.7224e-006",
"395.2","0.0055","6.4237e-006",
"395.4","0.0055","6.3299e-006",
"395.6","0.0058","6.7047e-006",
"395.8","0.0059","6.8904e-006",
"396.0","0.0057","6.6559e-006",
"396.2","0.0058","6.7324e-006",
"396.4","0.0063","7.2605e-006",
"396.6","0.0064","7.3694e-006",
"396.8","0.0060","7.0022e-006",
"397.0","0.0061","7.1300e-006",
"397.2","0.0067","7.7373e-006",
"397.4","0.0069","8.0314e-006",
"397.6","0.0069","7.9572e-006",
"397.8","0.0066","7.6832e-006",
"398.0","0.0064","7.4114e-006",
"398.2","0.0065","7.5487e-006",
"398.4","0.0068","7.9057e-006",
"398.6","0.0070","8.1051e-006",
"398.8","0.0071","8.2491e-006",
"399.0","0.0073","8.4851e-006",
"399.2","0.0075","8.7170e-006",
"399.4","0.0076","8.8227e-006",
"399.6","0.0077","8.9420e-006",
"399.8","0.0080","9.2451e-006",
"400.0","0.0082","9.4583e-006",
"400.2","0.0081","9.3408e-006",
"400.4","0.0080","9.2245e-006",
"400.6","0.0080","9.2917e-006",
"400.8","0.0082","9.4608e-006",
"401.0","0.0084","9.7199e-006",
"401.2","0.0087","1.0097e-005",
"401.4","0.0091","1.0557e-005",
"401.6","0.0092","1.0692e-005",
"401.8","0.0090","1.0453e-005",
"402.0","0.0090","1.0444e-005",
"402.2","0.0093","1.0750e-005",
"402.4","0.0094","1.0950e-005",
"402.6","0.0095","1.1043e-005",
"402.8","0.0097","1.1276e-005",
"403.0","0.0100","1.1644e-005",
"403.2","0.0104","1.2031e-005",
"403.4","0.0107","1.2397e-005",
"403.6","0.0109","1.2681e-005",
"403.8","0.0111","1.2872e-005",
"404.0","0.0111","1.2857e-005",
"404.2","0.0111","1.2854e-005",
"404.4","0.0114","1.3179e-005",
"404.6","0.0117","1.3619e-005",
"404.8","0.0121","1.4018e-005",
"405.0","0.0123","1.4309e-005",
"405.2","0.0124","1.4356e-005",
"405.4","0.0124","1.4404e-005",
"405.6","0.0126","1.4645e-005",
"405.8","0.0130","1.5122e-005",
"406.0","0.0137","1.5945e-005",
"406.2","0.0143","1.6576e-005",
"406.4","0.0145","1.6769e-005",
"406.6","0.0147","1.7050e-005",
"406.8","0.0152","1.7624e-005",
"407.0","0.0157","1.8188e-005",
"407.2","0.0161","1.8668e-005",
"407.4","0.0164","1.9043e-005",
"407.6","0.0167","1.9348e-005",
"407.8","0.0171","1.9806e-005",
"408.0","0.0176","2.0365e-005",
"408.2","0.0179","2.0780e-005",
"408.4","0.0182","2.1111e-005",
"408.6","0.0187","2.1711e-005",
"408.8","0.0194","2.2461e-005",
"409.0","0.0198","2.3023e-005",
"409.2","0.0203","2.3536e-005",
"409.4","0.0210","2.4316e-005",
"409.6","0.0217","2.5152e-005",
"409.8","0.0221","2.5664e-005",
"410.0","0.0226","2.6158e-005",
"410.2","0.0232","2.6956e-005",
"410.4","0.0240","2.7784e-005",
"410.6","0.0245","2.8400e-005",
"410.8","0.0250","2.9023e-005",
"411.0","0.0256","2.9738e-005",
"411.2","0.0263","3.0556e-005",
"411.4","0.0271","3.1477e-005",
"411.6","0.0279","3.2307e-005",
"411.8","0.0284","3.2947e-005",
"412.0","0.0292","3.3838e-005",
"412.2","0.0302","3.5064e-005",
"412.4","0.0312","3.6233e-005",
"412.6","0.0321","3.7204e-005",
"412.8","0.0329","3.8199e-005",
"413.0","0.0338","3.9236e-005",
"413.2","0.0348","4.0372e-005",
"413.4","0.0358","4.1548e-005",
"413.6","0.0368","4.2723e-005",
"413.8","0.0378","4.3902e-005",
"414.0","0.0390","4.5193e-005",
"414.2","0.0402","4.6600e-005",
"414.4","0.0415","4.8124e-005",
"414.6","0.0428","4.9633e-005",
"414.8","0.0439","5.0938e-005",
"415.0","0.0450","5.2180e-005",
"415.2","0.0463","5.3718e-005",
"415.4","0.0477","5.5321e-005",
"415.6","0.0488","5.6631e-005",
"415.8","0.0501","5.8093e-005",
"416.0","0.0519","6.0215e-005",
"416.2","0.0538","6.2402e-005",
"416.4","0.0553","6.4137e-005",
